aalib 1.4rc5-14
haskell-text-metrics 0.3.2-26
haskell-tf-random 0.5-501
haskell-th-abstraction 0.4.3.0-2
haskell-th-compat 0.1.3-41
haskell-th-expand-syns 0.4.9.0-28
haskell-th-lift 0.8.2-11
haskell-th-lift-instances 0.1.19-30
haskell-th-reify-many 0.1.10-44
haskell-these 1.1.1.1-141
haskell-time-compat 1.9.6.1-41
haskell-timezone-olson 0.2.1-1
haskell-timezone-series 0.1.13-1
haskell-tls 1.5.7-27
haskell-transformers-base 0.4.6-46
haskell-transformers-compat 0.7.1-2
haskell-type-equality 1-12
haskell-typed-process 0.2.8.0-30
haskell-unicode-data 0.3.0-11
haskell-unicode-transforms 0.4.0.1-9
haskell-unix-compat 0.5.4-1
haskell-unix-time 0.4.7-173
haskell-unliftio 0.2.22.0-4
haskell-unliftio-core 0.2.0.1-9
haskell-unordered-containers 0.2.19.1-6
haskell-utf8-string 1.0.2-94
haskell-uuid-types 1.0.5-61
haskell-vault 0.3.1.5-85
haskell-vector 0.12.3.1-87
haskell-vector-algorithms 0.8.0.4-109
haskell-void 0.7.3-147
haskell-x11 1.10.2-1
haskell-x11-xft 0.3.4-11
haskell-x509 1.7.6-17
haskell-x509-store 1.6.9-24
haskell-x509-system 1.6.7-27
haskell-x509-validation 1.6.12-29
haskell-xml-conduit 1.9.1.1-108
haskell-xml-types 0.3.8-8
haskell-yaml 0.11.8.0-25
haskell-zip-archive 0.4.2.1-14
haskell-zlib 0.6.3.0-4
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
hollywood 1.21-6
hostapd 2.10-1
htop 3.2.0-1
http-parser 2.9.4-1
hunspell 1.7.0-4
hunspell-en_gb 2020.12.07-4
hwdata 0.359-1
hwloc 2.7.1-1
hyphen 2.8.8-4
i3lock-color 2.13.c.4-1
iana-etc 20220427-1
icu 71.1-1
ijs 0.35-4
imagemagick 7.1.0.35-1
imath 3.1.5-1
imlib2 1.9.0-3
inetutils 2.2-1
iniparser 4.1-4
intel-ucode 20220510-1
intltool 0.51.0-6
inxi 3.3.16.1-1
iproute2 5.18.0-1
iptables 1:1.8.8-1
iputils 20211215-1
iso-codes 4.9.0-1
iw 5.16-1
jack2 1.9.21-1
jade-application-kit 3.5.6-2
jansson 2.14-2
jasper 3.0.3-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk17-openjdk 17.0.3.u7-2
jemalloc 1:5.3.0-1
jmtpfs 0.5-2
jp2a 1.1.1-1
jre17-openjdk 17.0.3.u7-2
jre17-openjdk-headless 17.0.3.u7-2
js78 78.15.0-4
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
kactivities 5.94.0-1
karchive 5.94.0-1
kauth 5.94.0-1
kbd 2.4.0-2
kbookmarks 5.94.0-1
kcodecs 5.94.0-1
kcompletion 5.94.0-1
kconfig 5.94.0-1
kconfigwidgets 5.94.0-1
kcoreaddons 5.94.0-1
kcrash 5.94.0-1
kdbusaddons 5.94.0-1
kdeclarative 5.94.0-1
kded 5.94.0-1
kdegraphics-mobipocket 22.04.1-1
keyutils 1.6.3-1
kglobalaccel 5.94.0-1
kguiaddons 5.94.0-1
ki18n 5.94.0-1
kiconthemes 5.94.0-1
kio 5.94.0-1
kipi-plugins-debug 22.04.0-1
